id,crime_rate,unemployment_rate,natural_scale,natural_rank,economic_rank,security_rank,normed_natural_rank,normed_economical_rank,normed_security_rank,color_economical,color_security,color_natural,color_value,total_score,county_name,state,max_color,color_max,total_score_divide_3
29510,0.017919954,8.5,-0.48,1305,2554,1,107,207,0,#ffff30,#ffffff,#ff94ff,#ff9430,314,St. Louis city, MO,#ffff30,#4c78a8,104.6666667
5035,0.01754915,8.3,-1.05,945.5,2475.5,2,77,201,0,#ffff36,#ffffff,#ffb2ff,#ffb236,278,Crittenden County, AR,#ffff36,#4c78a8,92.66666667
17003,0.016647005,9.8,0.95,2272.5,2885.5,3,186,234,0,#ffff15,#ffffff,#ff45ff,#ff4515,420,Alexander County, IL,#ffff15,#4c78a8,140
48261,0.014563107,5.4,3.14,2821,896,4,231,73,0,#ffffb6,#ffffff,#ff18ff,#ff18b6,304,Kenedy County, TX,#ff18ff,#54a24b,101.3333333
22031,0.014474024,7.3,0.37,1942,1999,5,159,162,0,#ffff5d,#ffffff,#ff60ff,#ff605d,321,De Soto Parish, LA,#ffff5d,#4c78a8,107
24510,0.014195376,8.8,-0.37,1378.5,2651,6,113,215,0,#ffff28,#ffffff,#ff8eff,#ff8e28,328,Baltimore city, MD,#ffff28,#4c78a8,109.3333333
47157,0.013150038,9.7,-0.44,1329,2865,7,109,233,1,#ffff16,#feffff,#ff92ff,#fe9216,343,Shelby County, TN,#ffff16,#4c78a8,114.3333333
45069,0.012534371,9.8,0.27,1868.5,2885.5,8,153,234,1,#ffff15,#feffff,#ff66ff,#fe6615,388,Marlboro County, SC,#ffff15,#4c78a8,129.3333333
32029,0.01217656,8.3,5.11,2999.5,2475.5,9,246,201,1,#ffff36,#feffff,#ff09ff,#fe0936,448,Storey County, NV,#ff09ff,#54a24b,149.3333333
11001,0.012168013,8,-0.76,1128,2337,10,92,190,1,#ffff41,#feffff,#ffa3ff,#fea341,283,District of Columbia, DC,#ffff41,#4c78a8,94.33333333
45033,0.011655833,6.1,-0.68,1179,1302,11,97,106,1,#ffff95,#feffff,#ff9eff,#fe9e95,204,Dillon County, SC,#ffff95,#4c78a8,68
29201,0.011631458,5.3,-1.44,762.5,830,12,62,67,1,#ffffbc,#feffff,#ffc1ff,#fec1bc,130,Scott County, MO,#ffffbc,#4c78a8,43.33333333
42101,0.011502963,12.4,-0.46,1315.5,3085,13,108,250,1,#ffff05,#feffff,#ff93ff,#fe9305,359,Philadelphia County, PA,#ffff05,#4c78a8,119.6666667
32027,0.011487567,4.9,4.23,2928,623,14,240,50,1,#ffffcd,#feffff,#ff0fff,#fe0fcd,291,Pershing County, NV,#ff0fff,#54a24b,97
45047,0.011402263,6.4,-0.11,1574.5,1485,15,129,120,1,#ffff87,#feffff,#ff7eff,#fe7e87,250,Greenwood County, SC,#ff7eff,#54a24b,83.33333333
47113,0.011384238,7.5,-1.44,762.5,2097.5,16,62,170,1,#ffff55,#feffff,#ffc1ff,#fec155,233,Madison County, TN,#ffff55,#4c78a8,77.66666667
47037,0.011295137,8,0.33,1910,2337,17,157,190,1,#ffff41,#feffff,#ff62ff,#fe6241,348,Davidson County, TN,#ffff41,#4c78a8,116
18097,0.010835081,7.9,-2.51,321.5,2286.5,18,26,186,1,#ffff45,#feffff,#ffe5ff,#fee545,213,Marion County, IN,#ffff45,#4c78a8,71
26163,0.010651883,13.8,-1.73,629,3111.5,19,51,253,2,#ffff02,#fdffff,#ffccff,#fdcc02,306,Wayne County, MI,#ffff02,#4c78a8,102
29095,0.010266237,7.1,-1.49,738,1888,20,60,153,2,#ffff66,#fdffff,#ffc3ff,#fdc366,215,Jackson County, MO,#ffff66,#4c78a8,71.66666667
2188,0.010149642,12,0,,3073,21,0,249,2,#ffff06,#fdffff,#ffffff,#fdff06,251,Northwest Arctic Borough, AK,#ffff06,#4c78a8,83.66666667
29155,0.009987095,8,-1.16,889,2337,22,73,190,2,#ffff41,#fdffff,#ffb6ff,#fdb641,265,Pemiscot County, MO,#ffff41,#4c78a8,88.33333333
22047,0.009740162,9.8,-0.56,1256,2885.5,23,103,234,2,#ffff15,#fdffff,#ff98ff,#fd9815,339,Iberville Parish, LA,#ffff15,#4c78a8,113
5119,0.009599166,7.4,0.85,2221.5,2049,24,182,166,2,#ffff59,#fdffff,#ff49ff,#fd4959,350,Pulaski County, AR,#ff49ff,#54a24b,116.6666667
