id,Natural_score,Economical_score,Security_score,Total_score,county_name,state_id,state
29510,107,207,0,314,St. Louis city,29, MO
5035,77,201,0,278,Crittenden County,5, AR
17003,186,234,0,420,Alexander County,17, IL
48261,231,73,0,304,Kenedy County,48, TX
22031,159,162,0,321,De Soto Parish,22, LA
24510,113,215,0,328,Baltimore city,24, MD
47157,109,233,1,343,Shelby County,47, TN
45069,153,234,1,388,Marlboro County,45, SC
32029,246,201,1,448,Storey County,32, NV
11001,92,190,1,283,District of Columbia,11, DC
45033,97,106,1,204,Dillon County,45, SC
29201,62,67,1,130,Scott County,29, MO
42101,108,250,1,359,Philadelphia County,42, PA
32027,240,50,1,291,Pershing County,32, NV
45047,129,120,1,250,Greenwood County,45, SC
47113,62,170,1,233,Madison County,47, TN
47037,157,190,1,348,Davidson County,47, TN
18097,26,186,1,213,Marion County,18, IN
26163,51,253,2,306,Wayne County,26, MI
29095,60,153,2,215,Jackson County,29, MO
2188,0,249,2,251,Northwest Arctic Borough,2, AK
29155,73,190,2,265,Pemiscot County,29, MO
22047,103,234,2,339,Iberville Parish,22, LA
5119,182,166,2,350,Pulaski County,5, AR
5069,76,190,2,268,Jefferson County,5, AR
5091,118,144,2,264,Miller County,5, AR
40101,164,101,2,267,Muskogee County,40, OK
45011,123,166,2,291,Barnwell County,45, SC
22105,119,229,2,350,Tangipahoa Parish,22, LA
45067,127,181,2,310,Marion County,45, SC
2070,0,197,3,200,Dillingham Census Area,2, AK
13095,117,209,3,329,Dougherty County,13, GA
40019,194,149,3,346,Carter County,40, OK
26049,46,246,3,295,Genesee County,26, MI
1087,103,231,3,337,Macon County,1, AL
55079,111,197,3,311,Milwaukee County,55, WI
45079,170,91,3,264,Richland County,45, SC
47061,138,234,3,375,Grundy County,47, TN
1063,134,245,3,382,Greene County,1, AL
27133,2,8,3,13,Rock County,27, MN
6077,243,247,3,493,San Joaquin County,6, CA
19155,79,63,3,145,Pottawattamie County,19, IA
48353,218,67,4,289,Nolan County,48, TX
2150,0,110,4,114,Kodiak Island Borough,2, AK
17201,27,247,4,278,Winnebago County,17, IL
25025,181,233,4,418,Suffolk County,25, MA
26145,11,236,4,251,Saginaw County,26, MI
1047,125,243,4,372,Dallas County,1, AL
13121,121,190,4,315,Fulton County,13, GA
2020,0,166,4,170,Anchorage Municipality,2, AK
12079,199,101,4,304,Madison County,12, FL
5107,97,221,4,322,Phillips County,5, AR
17167,28,197,4,229,Sangamon County,17, IL
47075,52,218,4,274,Haywood County,47, TN
39095,87,241,5,333,Lucas County,39, OH
37155,59,215,5,279,Robeson County,37, NC
20119,126,6,5,137,Meade County,20, KS
12033,222,135,5,362,Escambia County,12, FL
1073,168,110,5,283,Jefferson County,1, AL
54067,138,240,5,383,Nicholas County,54, WV
12037,227,73,5,305,Franklin County,12, FL
17163,49,220,5,274,St. Clair County,17, IL
22071,145,250,5,400,Orleans Parish,22, LA
48135,225,245,5,475,Ector County,48, TX
22009,106,190,5,301,Avoyelles Parish,22, LA
22079,123,110,5,238,Rapides Parish,22, LA
45085,164,140,6,310,Sumter County,45, SC
40031,221,135,6,362,Comanche County,40, OK
5093,50,220,6,276,Mississippi County,5, AR
45029,175,106,6,287,Colleton County,45, SC
6049,245,207,6,458,Modoc County,6, CA
6001,246,215,6,467,Alameda County,6, CA
13261,150,166,6,322,Sumter County,13, GA
45031,154,126,6,286,Darlington County,45, SC
22081,192,110,6,308,Red River Parish,22, LA
48303,193,87,6,286,Lubbock County,48, TX
35053,231,153,6,390,Socorro County,35, NM
48131,187,250,6,443,Duval County,48, TX
35001,237,194,7,438,Bernalillo County,35, NM
48315,203,197,7,407,Marion County,48, TX
45061,80,174,7,261,Lee County,45, SC
6089,249,212,7,468,Shasta County,6, CA
45059,114,144,7,265,Laurens County,45, SC
2185,0,96,7,103,North Slope Borough,2, AK
28049,71,225,7,303,Hinds County,28, MS
35006,230,223,7,460,Cibola County,35, NM
40143,118,131,7,256,Tulsa County,40, OK
12107,222,186,7,415,Putnam County,12, FL
48245,189,249,7,445,Jefferson County,48, TX
54069,128,205,7,340,Ohio County,54, WV
6075,255,181,8,444,San Francisco County,6, CA
45009,93,220,8,321,Bamberg County,45, SC
6047,242,250,8,500,Merced County,6, CA
48201,134,218,8,360,Harris County,48, TX
48249,205,252,8,465,Jim Wells County,48, TX
40109,151,120,8,279,Oklahoma County,40, OK
35031,234,240,8,482,McKinley County,35, NM
29133,65,67,8,140,Mississippi County,29, MO
6003,253,246,8,507,Alpine County,6, CA
13037,148,58,8,214,Calhoun County,13, GA
47045,112,190,8,310,Dyer County,47, TN
32003,244,253,8,505,Clark County,32, NV
35019,227,135,9,371,Guadalupe County,35, NM
35045,228,237,9,474,San Juan County,35, NM
45039,175,186,9,370,Fairfield County,45, SC
29119,124,54,9,187,McDonald County,29, MO
12123,222,110,9,341,Taylor County,12, FL
13305,128,83,9,220,Wayne County,13, GA
22033,94,181,9,284,East Baton Rouge Parish,22, LA
12073,211,91,9,311,Leon County,12, FL
32015,236,46,9,291,Lander County,32, NV
12095,229,242,9,480,Orange County,12, FL
28083,64,243,9,316,Leflore County,28, MS
34013,135,249,9,393,Essex County,34, NJ
13225,98,110,10,218,Peach County,13, GA
13033,92,158,10,260,Burke County,13, GA
47065,194,153,10,357,Hamilton County,47, TN
12086,0,190,10,200,Miami-Dade County,12, FL
12023,171,91,10,272,Columbia County,12, FL
47033,37,96,10,143,Crockett County,47, TN
37107,52,110,10,172,Lenoir County,37, NC
5057,98,63,10,171,Hempstead County,5, AR
48233,214,158,10,382,Hutchinson County,48, TX
51760,84,215,10,309,Richmond city,51, VA
28065,75,231,10,316,Jefferson Davis County,28, MS
1035,80,162,10,252,Conecuh County,1, AL
22067,48,234,11,293,Morehouse Parish,22, LA
13099,146,91,11,248,Early County,13, GA
47077,181,190,11,382,Henderson County,47, TN
36085,150,242,11,403,Richmond County,36, NY
36061,117,229,11,357,New York County,36, NY
17081,51,237,11,299,Jefferson County,17, IL
36005,189,254,11,454,Bronx County,36, NY
36081,137,251,11,399,Queens County,36, NY
36047,126,251,11,388,Kings County,36, NY
13301,189,140,11,340,Warren County,13, GA
37127,65,205,11,281,Nash County,37, NC
47097,140,223,11,374,Lauderdale County,47, TN
47029,200,239,12,451,Cocke County,47, TN
48037,180,166,12,358,Bowie County,48, TX
45049,96,54,12,162,Hampton County,45, SC
12051,240,194,12,446,Hendry County,12, FL
12031,221,135,12,368,Duval County,12, FL
37063,120,126,12,258,Durham County,37, NC
29077,172,67,12,251,Greene County,29, MO
12065,216,83,12,311,Jefferson County,12, FL
1053,135,101,12,248,Escambia County,1, AL
45051,184,209,12,405,Horry County,45, SC
48355,233,220,12,465,Nueces County,48, TX
20173,96,212,12,320,Sedgwick County,20, KS
37065,39,242,13,294,Edgecombe County,37, NC
20125,90,162,13,265,Montgomery County,20, KS
22017,174,220,13,407,Caddo Parish,22, LA
4009,247,116,13,376,Graham County,4, AZ
6039,250,244,13,507,Madera County,6, CA
5131,191,101,13,305,Sebastian County,5, AR
13107,126,153,13,292,Emanuel County,13, GA
34007,73,237,13,323,Camden County,34, NJ
32023,245,233,13,491,Nye County,32, NV
4011,247,78,13,338,Greenlee County,4, AZ
12001,224,73,13,310,Alachua County,12, FL
5139,106,201,13,320,Union County,5, AR
17143,30,241,14,285,Peoria County,17, IL
1089,69,40,14,123,Madison County,1, AL
26025,21,233,14,268,Calhoun County,26, MI
45089,86,194,14,294,Williamsburg County,45, SC
48393,110,40,14,164,Roberts County,48, TX
47011,126,131,14,271,Bradley County,47, TN
45007,177,96,14,287,Anderson County,45, SC
8031,229,197,14,440,Denver County,8, CO
45023,134,218,14,366,Chester County,45, SC
1085,110,252,14,376,Lowndes County,1, AL
48489,213,249,14,476,Willacy County,48, TX
17031,78,246,14,338,Cook County,17, IL
18019,27,158,15,200,Clark County,18, IN
13089,118,190,15,323,DeKalb County,13, GA
48375,226,78,15,319,Potter County,48, TX
5001,87,24,15,126,Arkansas County,5, AR
5017,108,240,15,363,Chicot County,5, AR
4003,252,149,15,416,Cochise County,4, AZ
20209,126,181,15,322,Wyandotte County,20, KS
13287,143,158,15,316,Turner County,13, GA
6033,252,231,15,498,Lake County,6, CA
35029,228,254,15,497,Luna County,35, NM
12081,243,140,15,398,Manatee County,12, FL
25013,131,241,15,387,Hampden County,25, MA
13143,112,96,16,224,Haralson County,13, GA
10003,137,177,16,330,New Castle County,10, DE
1015,149,153,16,318,Calhoun County,1, AL
17077,177,177,16,370,Jackson County,17, IL
22093,74,233,16,323,St. James Parish,22, LA
47163,198,158,16,372,Sullivan County,47, TN
45045,213,87,16,316,Greenville County,45, SC
22029,125,194,16,335,Concordia Parish,22, LA
21111,156,140,16,312,Jefferson County,21, KY
6029,243,251,16,510,Kern County,6, CA
13063,117,240,16,373,Clayton County,13, GA
6063,252,243,16,511,Plumas County,6, CA
51595,91,246,17,354,Emporia city,51, VA
45055,153,67,17,237,Kershaw County,45, SC
26107,45,221,17,283,Mecosta County,26, MI
22069,161,140,17,318,Natchitoches Parish,22, LA
35015,245,144,17,406,Eddy County,35, NM
45087,90,220,17,327,Union County,45, SC
22123,21,237,17,275,West Carroll Parish,22, LA
17183,13,215,17,245,Vermilion County,17, IL
35039,247,194,17,458,Rio Arriba County,35, NM
37051,95,229,17,341,Cumberland County,37, NC
47069,77,197,17,291,Hardeman County,47, TN
5063,142,91,17,250,Independence County,5, AR
22101,182,223,18,423,St. Mary Parish,22, LA
1017,115,140,18,273,Chambers County,1, AL
6103,232,215,18,465,Tehama County,6, CA
13027,158,63,18,239,Brooks County,13, GA
17019,1,120,18,139,Champaign County,17, IL
13127,218,140,18,376,Glynn County,13, GA
51730,67,253,18,338,Petersburg city,51, VA
51710,166,212,18,396,Norfolk city,51, VA
17071,68,144,18,230,Henderson County,17, IL
6091,250,190,18,458,Sierra County,6, CA
22035,70,249,18,337,East Carroll Parish,22, LA
47025,208,149,18,375,Claiborne County,47, TN
37119,181,181,19,381,Mecklenburg County,37, NC
6015,255,229,19,503,Del Norte County,6, CA
24033,100,197,19,316,Prince George's County,24, MD
22055,28,153,19,200,Lafayette Parish,22, LA
29023,88,116,19,223,Butler County,29, MO
1119,107,149,19,275,Sumter County,1, AL
47119,125,194,19,338,Maury County,47, TN
1097,206,186,19,411,Mobile County,1, AL
22097,95,212,19,326,St. Landry Parish,22, LA
34011,160,244,19,423,Cumberland County,34, NJ
13277,157,58,19,234,Tift County,13, GA
12103,245,149,19,413,Pinellas County,12, FL
51770,137,177,20,334,Roanoke city,51, VA
45027,193,140,20,353,Clarendon County,45, SC
35005,238,194,20,452,Chaves County,35, NM
13239,190,126,20,336,Quitman County,13, GA
24045,96,170,20,286,Wicomico County,24, MD
6067,236,225,20,481,Sacramento County,6, CA
48003,176,197,20,393,Andrews County,48, TX
6099,253,243,20,516,Stanislaus County,6, CA
13255,116,174,20,310,Spalding County,13, GA
48469,89,201,20,310,Victoria County,48, TX
5123,68,186,20,274,St. Francis County,5, AR
54105,115,243,20,378,Wirt County,54, WV
37083,68,223,21,312,Halifax County,37, NC
13161,101,58,21,180,Jeff Davis County,13, GA
24015,143,96,21,260,Cecil County,24, MD
12009,238,131,21,390,Brevard County,12, FL
1013,73,215,21,309,Butler County,1, AL
47125,106,174,21,301,Montgomery County,47, TN
45013,209,73,21,303,Beaufort County,45, SC
37067,77,166,21,264,Forsyth County,37, NC
6019,250,247,21,518,Fresno County,6, CA
10001,132,209,21,362,Kent County,10, DE
48227,220,194,21,435,Howard County,48, TX
13237,222,131,21,374,Putnam County,13, GA
29141,196,116,22,334,Morgan County,29, MO
37007,140,177,22,339,Anson County,37, NC
39003,31,207,22,260,Allen County,39, OH
13065,156,24,22,202,Clinch County,13, GA
13317,174,135,22,331,Wilkes County,13, GA
26121,111,247,22,380,Muskegon County,26, MI
54043,77,237,22,336,Lincoln County,54, WV
